"Wavelength, µm",n,k
15.431,1.56094,0.0233
15.617,1.54848,0.0218
15.808,1.54164,0.0224
16.003,1.53726,0.0197
16.203,1.528,0.0192
16.408,1.51659,0.0221
16.618,1.51254,0.0257
16.834,1.51107,0.0296
17.056,1.5015,0.0342
17.283,1.49402,0.0382
17.517,1.49619,0.0415
17.757,1.50036,0.0437
18.003,1.4979,0.048
18.257,1.49605,0.0546
18.518,1.49709,0.0565
18.786,1.49362,0.0549
19.062,1.48785,0.0522
19.347,1.48798,0.0496
19.64,1.48985,0.0496
20.01,1.49006,0.055
